District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
20. San Blas-Canillejas;     201. Simancas;2.152;2.768;3.043;3.391;3.771;3.773;3.640;3.435;3.210;2.990;2.696;2.373;2.161;1.928;1.955;2.153;2.308;2.511
20. San Blas-Canillejas;     202. Hellín;1.613;2.306;2.479;2.745;3.029;2.967;3.076;-;-;-;1.849;1.579;-;1.203;-;-;-;-
20. San Blas-Canillejas;     203. Amposta;1.645;1.810;2.558;3.012;2.961;3.545;3.470;-;-;2.232;1.909;1.576;1.363;1.225;1.145;1.336;-;-
20. San Blas-Canillejas;     204. Arcos;1.601;2.189;2.719;2.737;3.113;3.303;3.382;2.893;2.550;2.452;2.103;1.701;1.546;1.330;1.355;1.557;1.817;2.084
20. San Blas-Canillejas;     205. Rosas;2.134;2.949;3.307;3.558;3.772;3.927;3.815;3.562;3.460;3.283;3.061;2.652;2.597;2.446;2.545;2.574;2.854;2.993
20. San Blas-Canillejas;     206. Rejas;1.525;2.251;3.140;3.200;3.587;3.833;3.708;3.381;3.187;3.149;2.966;2.574;2.625;2.487;2.518;2.505;2.920;3.133
20. San Blas-Canillejas;     207. Canillejas;1.849;2.132;2.469;2.906;3.185;3.382;3.318;2.865;2.706;2.512;2.451;1.986;1.950;1.775;1.617;1.748;2.033;2.100
20. San Blas-Canillejas;     208. Salvador;2.305;2.898;3.386;3.512;3.877;3.953;3.829;-;-;-;3.551;3.206;2.775;2.634;2.569;2.880;3.265;-
21. Barajas;21. Barajas;;;;;;;;;;;;;;;;;;
21. Barajas;     21. Barajas;2.101;2.773;3.157;3.443;3.671;3.964;3.890;3.633;3.500;3.435;3.234;2.969;2.764;2.583;2.602;2.672;2.993;3.242
21. Barajas;     211. Alameda de Osuna;1.995;2.559;2.812;3.226;3.558;3.744;3.752;3.504;3.283;3.263;3.057;2.817;2.787;2.612;2.583;2.602;2.884;3.185
21. Barajas;     212. Aeropuerto;1.110;-;-;-;3.479;3.542;-;2.853;-;-;-;-;-;-;-;-;-;-
21. Barajas;     213. Casco Histórico de Barajas;2.581;-;2.865;3.218;3.022;3.388;3.632;-;-;-;-;-;-;1.991;-;-;-;-
21. Barajas;     214. Timón;2.254;3.019;2.908;3.389;3.567;3.945;3.848;3.512;3.337;3.360;3.100;2.703;-;2.433;2.431;-;-;-
21. Barajas;     215. Corralejos;1.927;3.054;3.685;3.959;4.232;4.416;4.391;4.083;4.191;4.381;3.939;3.640;3.434;3.426;3.262;3.331;-;-
