District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
05. Chamartín;     054. Hispanoamérica;3.198;3.982;4.462;4.852;5.129;5.252;5.663;5.740;5.223;4.933;4.675;4.289;3.804;3.765;3.826;4.047;4.473;5.024
05. Chamartín;     055. Nueva España;3.467;4.264;5.003;4.935;5.533;5.576;5.916;5.880;5.727;5.374;5.011;4.471;4.236;4.186;4.278;4.416;4.929;5.204
05. Chamartín;     056. Castilla;2.848;3.160;3.806;4.076;4.486;4.701;4.884;4.437;4.176;4.200;3.849;3.300;3.123;3.015;3.163;3.165;3.590;4.313
06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;;;
06. Tetuán;     06. Tetuán;2.482;3.234;3.539;3.831;4.026;4.229;4.209;3.910;3.694;3.603;3.319;2.913;2.643;2.545;2.634;2.811;3.151;3.601
06. Tetuán;     061. Bellas Vistas;2.091;2.821;3.210;3.523;3.895;4.024;3.914;3.508;3.278;3.053;2.868;2.449;2.381;2.200;2.294;2.426;2.753;3.354
06. Tetuán;     062. Cuatro Caminos;2.864;3.621;3.851;4.152;4.312;4.536;4.383;4.285;4.059;3.922;3.662;3.134;3.011;2.879;3.035;3.296;3.841;4.115
06. Tetuán;     063. Castillejos;2.931;3.576;3.943;4.412;4.494;5.049;4.815;4.604;4.239;4.280;3.895;3.412;3.099;3.150;3.275;3.476;3.745;4.172
06. Tetuán;     064. Almenara;2.268;3.023;3.382;3.638;3.879;4.027;4.104;3.607;3.563;3.315;2.980;2.593;2.386;2.235;2.140;2.407;2.729;3.311
06. Tetuán;     065. Valdeacederas;2.200;2.814;3.257;3.475;3.743;3.918;4.003;3.554;3.360;3.285;2.896;2.456;2.317;2.161;2.198;2.262;2.541;3.034
06. Tetuán;     066. Berruguete;2.168;2.877;3.208;3.573;3.733;4.012;4.001;3.360;3.181;3.078;2.842;2.608;2.306;2.159;2.236;2.394;2.712;2.982
07. Chamberí;07. Chamberí;;;;;;;;;;;;;;;;;;
07. Chamberí;     07. Chamberí;2.882;3.586;4.237;4.523;4.830;5.164;5.328;5.019;5.011;4.790;4.790;4.034;3.567;3.630;3.760;4.060;4.811;5.200
07. Chamberí;     071. Gaztambide;2.583;3.285;4.046;4.293;4.634;4.760;5.068;4.555;4.198;4.210;3.919;3.258;3.250;3.095;3.343;3.649;3.929;4.664
